id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1500374987798163461,1500374987798163461,2022-03-06 08:37:27 Romance Standard Time,2022-03-06,08:37:27,+0100,25084898,alfyatd,Alf Dunbar,,Just do it …  https://t.co/4NR3sUhhRY,en,[],[],['https://pbs.twimg.com/media/FNJnGV4XwAIReTc.jpg'],0,0,4,[],[],https://twitter.com/AlfYATD/status/1500374987798163461,False,,1,https://pbs.twimg.com/media/FNJnGV4XwAIReTc.jpg,,,,,,,[],,,,
1500002766449778691,1500002766449778691,2022-03-05 07:58:22 Romance Standard Time,2022-03-05,07:58:22,+0100,25084898,alfyatd,Alf Dunbar,,"""Get comfortable with being alone. It will empower you.""  https://t.co/lbWrvCPzjX",en,[],[],['https://pbs.twimg.com/media/FNEUkKaWQAIz_1f.jpg'],0,2,7,[],[],https://twitter.com/AlfYATD/status/1500002766449778691,False,,1,https://pbs.twimg.com/media/FNEUkKaWQAIz_1f.jpg,,,,,,,[],,,,
1499630862597562368,1499630862597562368,2022-03-04 07:20:34 Romance Standard Time,2022-03-04,07:20:34,+0100,25084898,alfyatd,Alf Dunbar,,"""Never give up. Great things take time. Be patient.""  https://t.co/gkABVo7i1e",en,[],[],['https://pbs.twimg.com/media/FM_CUa9WYAA_LXB.jpg'],0,4,10,[],[],https://twitter.com/AlfYATD/status/1499630862597562368,False,,1,https://pbs.twimg.com/media/FM_CUa9WYAA_LXB.jpg,,,,,,,[],,,,
1499276688273948675,1499276688273948675,2022-03-03 07:53:12 Romance Standard Time,2022-03-03,07:53:12,+0100,25084898,alfyatd,Alf Dunbar,,"""You succeed by doing, not by thinking about doing.""  https://t.co/j1yvJGhN7V",en,[],[],['https://pbs.twimg.com/media/FM6AM5MWUAQmwzw.jpg'],0,3,8,[],[],https://twitter.com/AlfYATD/status/1499276688273948675,False,,1,https://pbs.twimg.com/media/FM6AM5MWUAQmwzw.jpg,,,,,,,[],,,,
1498921455664386049,1498921455664386049,2022-03-02 08:21:38 Romance Standard Time,2022-03-02,08:21:38,+0100,25084898,alfyatd,Alf Dunbar,,We only fail when we give up.  https://t.co/lFdjBxsnfn,en,[],[],['https://pbs.twimg.com/media/FM09HmNXsAE99AV.jpg'],0,4,9,[],[],https://twitter.com/AlfYATD/status/1498921455664386049,False,,1,https://pbs.twimg.com/media/FM09HmNXsAE99AV.jpg,,,,,,,[],,,,
1498630676513497093,1498630676513497093,2022-03-01 13:06:11 Romance Standard Time,2022-03-01,13:06:11,+0100,25084898,alfyatd,Alf Dunbar,,Thank you to everyone who took part 🙋‍♂️YATD,en,[],[],[],0,1,4,[],[],https://twitter.com/AlfYATD/status/1498630676513497093,False,https://twitter.com/RetailExIreland/status/1498605160263827457,0,,,,,,,,[],,,,
1498557403780026369,1498557403780026369,2022-03-01 08:15:01 Romance Standard Time,2022-03-01,08:15:01,+0100,25084898,alfyatd,Alf Dunbar,,"""You attract what you are, not what you want. If you want great, then work hard to be great.""  https://t.co/qg1VSyp8Wb",en,[],[],['https://pbs.twimg.com/media/FMvx_8sWUAE3f5E.jpg'],0,2,8,[],[],https://twitter.com/AlfYATD/status/1498557403780026369,False,,1,https://pbs.twimg.com/media/FMvx_8sWUAE3f5E.jpg,,,,,,,[],,,,
1498182360050900995,1498182360050900995,2022-02-28 07:24:44 Romance Standard Time,2022-02-28,07:24:44,+0100,25084898,alfyatd,Alf Dunbar,,Be an optimist…  https://t.co/PxK23nGr4m,en,[],[],['https://pbs.twimg.com/media/FMqc6ggXIAkCvJc.jpg'],0,3,9,[],[],https://twitter.com/AlfYATD/status/1498182360050900995,False,,1,https://pbs.twimg.com/media/FMqc6ggXIAkCvJc.jpg,,,,,,,[],,,,
1497862856599117826,1497862856599117826,2022-02-27 10:15:08 Romance Standard Time,2022-02-27,10:15:08,+0100,25084898,alfyatd,Alf Dunbar,,#leadership #Ukraine  https://t.co/JszOSVSSFe,und,[],[],['https://pbs.twimg.com/media/FMl6U-BX0AIVxfX.jpg'],0,3,10,"['leadership', 'ukraine']",[],https://twitter.com/AlfYATD/status/1497862856599117826,False,,1,https://pbs.twimg.com/media/FMl6U-BX0AIVxfX.jpg,,,,,,,[],,,,
1497806929099378692,1497806929099378692,2022-02-27 06:32:54 Romance Standard Time,2022-02-27,06:32:54,+0100,25084898,alfyatd,Alf Dunbar,,People with great passion can make the impossible happen. “I’m Possible!”  https://t.co/O6YfOl84Ue,en,[],[],['https://pbs.twimg.com/media/FMlHdkFXEAEyRyU.jpg'],0,3,5,[],[],https://twitter.com/AlfYATD/status/1497806929099378692,False,,1,https://pbs.twimg.com/media/FMlHdkFXEAEyRyU.jpg,,,,,,,[],,,,
1497477249246937091,1497477249246937091,2022-02-26 08:42:52 Romance Standard Time,2022-02-26,08:42:52,+0100,25084898,alfyatd,Alf Dunbar,,"When things change within you, they change around you.  https://t.co/mWNrwmh9II",en,[],[],['https://pbs.twimg.com/media/FMgbntRXIAAOj-P.jpg'],0,4,10,[],[],https://twitter.com/AlfYATD/status/1497477249246937091,False,,1,https://pbs.twimg.com/media/FMgbntRXIAAOj-P.jpg,,,,,,,[],,,,
1497115974306353153,1497115974306353153,2022-02-25 08:47:18 Romance Standard Time,2022-02-25,08:47:18,+0100,25084898,alfyatd,Alf Dunbar,,Make the most of every opportunity in life.  https://t.co/RxL0fDhOax,en,[],[],['https://pbs.twimg.com/media/FMbTCrjWYAM8wxq.jpg'],0,3,13,[],[],https://twitter.com/AlfYATD/status/1497115974306353153,False,,1,https://pbs.twimg.com/media/FMbTCrjWYAM8wxq.jpg,,,,,,,[],,,,
1496749232950284292,1496749232950284292,2022-02-24 08:30:00 Romance Standard Time,2022-02-24,08:30:00,+0100,25084898,alfyatd,Alf Dunbar,,Train yourself to see everything positively.  https://t.co/6Q4Fv6loo2,en,[],[],['https://pbs.twimg.com/media/FMWFfljXIAI31lz.jpg'],0,1,5,[],[],https://twitter.com/AlfYATD/status/1496749232950284292,False,,1,https://pbs.twimg.com/media/FMWFfljXIAI31lz.jpg,,,,,,,[],,,,
1496369031321899013,1496369031321899013,2022-02-23 07:19:12 Romance Standard Time,2022-02-23,07:19:12,+0100,25084898,alfyatd,Alf Dunbar,,"""Don't convince yourself, believe in yourself. There’s a difference.""  https://t.co/YbNCEncIjy",en,[],[],['https://pbs.twimg.com/media/FMQrs3pWYAEyFEd.jpg'],0,1,4,[],[],https://twitter.com/AlfYATD/status/1496369031321899013,False,,1,https://pbs.twimg.com/media/FMQrs3pWYAEyFEd.jpg,,,,,,,[],,,,
1496235984647819267,1496235984647819267,2022-02-22 22:30:32 Romance Standard Time,2022-02-22,22:30:32,+0100,25084898,alfyatd,Alf Dunbar,,So true …  https://t.co/1Nnf82vduJ,en,[],[],['https://pbs.twimg.com/media/FMOysevXEA0WB35.jpg'],0,5,22,[],[],https://twitter.com/AlfYATD/status/1496235984647819267,False,,1,https://pbs.twimg.com/media/FMOysevXEA0WB35.jpg,,,,,,,[],,,,
1496053764096237575,1496053764096237575,2022-02-22 10:26:27 Romance Standard Time,2022-02-22,10:26:27,+0100,25084898,alfyatd,Alf Dunbar,,So looking forward to my first big live YATD event  in such a long time! Great to back on the road and delivering events again. Glanbia Ireland 🇮🇪 #customerexperience  #coachingskills  #positivevibes  https://t.co/clM10Z93Pw,en,[],[],['https://pbs.twimg.com/media/FMMM9yxX0AgvhHK.jpg'],0,0,3,"['customerexperience', 'coachingskills', 'positivevibes']",[],https://twitter.com/AlfYATD/status/1496053764096237575,False,,1,https://pbs.twimg.com/media/FMMM9yxX0AgvhHK.jpg,,,,,,,[],,,,
1495638116744445955,1495638116744445955,2022-02-21 06:54:49 Romance Standard Time,2022-02-21,06:54:49,+0100,25084898,alfyatd,Alf Dunbar,,Never too young to start an empire. Never too old to chase a dream.  https://t.co/AzFms37eSF,en,[],[],['https://pbs.twimg.com/media/FMGS8FTX0AQDaXL.jpg'],0,2,12,[],[],https://twitter.com/AlfYATD/status/1495638116744445955,False,,1,https://pbs.twimg.com/media/FMGS8FTX0AQDaXL.jpg,,,,,,,[],,,,
1495289737720078337,1495289737720078337,2022-02-20 07:50:29 Romance Standard Time,2022-02-20,07:50:29,+0100,25084898,alfyatd,Alf Dunbar,,"""Surround yourself only with people who are going to lift you higher.""  https://t.co/Zo7CtgTGkz",en,[],[],['https://pbs.twimg.com/media/FMBWFuEX0AUTMCZ.jpg'],0,6,22,[],[],https://twitter.com/AlfYATD/status/1495289737720078337,False,,1,https://pbs.twimg.com/media/FMBWFuEX0AUTMCZ.jpg,,,,,,,[],,,,
1494571163216982024,1494571163216982024,2022-02-18 08:15:07 Romance Standard Time,2022-02-18,08:15:07,+0100,25084898,alfyatd,Alf Dunbar,,It’s You vs. You. Everyday. Always has been. Always will be.  https://t.co/4zyoJ5NZe4,en,[],[],['https://pbs.twimg.com/media/FL3IjLxWYAMaml3.jpg'],0,4,11,[],[],https://twitter.com/AlfYATD/status/1494571163216982024,False,,1,https://pbs.twimg.com/media/FL3IjLxWYAMaml3.jpg,,,,,,,[],,,,
1494199698827194372,1494199698827194372,2022-02-17 07:39:03 Romance Standard Time,2022-02-17,07:39:03,+0100,25084898,alfyatd,Alf Dunbar,,Look at your habits. They are the ones dictating your life.  https://t.co/svGHQthlZj,en,[],[],['https://pbs.twimg.com/media/FLx2tLPWYAIoYux.jpg'],0,1,5,[],[],https://twitter.com/AlfYATD/status/1494199698827194372,False,,1,https://pbs.twimg.com/media/FLx2tLPWYAIoYux.jpg,,,,,,,[],,,,
1493842808461049856,1493842808461049856,2022-02-16 08:00:54 Romance Standard Time,2022-02-16,08:00:54,+0100,25084898,alfyatd,Alf Dunbar,,"""Start your day with an attitude of gratitude.""  https://t.co/MAJb2nl14P",en,[],[],['https://pbs.twimg.com/media/FLsyHXyWUAElle0.jpg'],0,2,7,[],[],https://twitter.com/AlfYATD/status/1493842808461049856,False,,1,https://pbs.twimg.com/media/FLsyHXyWUAElle0.jpg,,,,,,,[],,,,
1493480901799464962,1493480901799464962,2022-02-15 08:02:49 Romance Standard Time,2022-02-15,08:02:49,+0100,25084898,alfyatd,Alf Dunbar,,"""Worrying does not take away tomorrow's troubles. It takes away today's peace.""  https://t.co/1NoCjHDDrs",en,[],[],['https://pbs.twimg.com/media/FLno9pzXwAEwWk_.jpg'],0,6,23,[],[],https://twitter.com/AlfYATD/status/1493480901799464962,False,,1,https://pbs.twimg.com/media/FLno9pzXwAEwWk_.jpg,,,,,,,[],,,,
1493093537306628098,1493093537306628098,2022-02-14 06:23:34 Romance Standard Time,2022-02-14,06:23:34,+0100,25084898,alfyatd,Alf Dunbar,,"""If you want to be busy, do more. If you want to succeed, do more of things that matter.""  https://t.co/tat1c6jgVH",en,[],[],['https://pbs.twimg.com/media/FLiIqFTWQAAHgLR.jpg'],0,2,4,[],[],https://twitter.com/AlfYATD/status/1493093537306628098,False,,1,https://pbs.twimg.com/media/FLiIqFTWQAAHgLR.jpg,,,,,,,[],,,,
1492772572961902594,1492772572961902594,2022-02-13 09:08:10 Romance Standard Time,2022-02-13,09:08:10,+0100,25084898,alfyatd,Alf Dunbar,,Having the right mindset and attitude can literally change your life.  https://t.co/Gness0cEB0,en,[],[],['https://pbs.twimg.com/media/FLdkveIX0AIUdD9.jpg'],0,3,11,[],[],https://twitter.com/AlfYATD/status/1492772572961902594,False,,1,https://pbs.twimg.com/media/FLdkveIX0AIUdD9.jpg,,,,,,,[],,,,
1492407730245709829,1492407730245709829,2022-02-12 08:58:25 Romance Standard Time,2022-02-12,08:58:25,+0100,25084898,alfyatd,Alf Dunbar,,"“MINDSET” It's all about mindset. From the moment you wake up to the moment you rest your head at night. Everything is up to you. Your emotions, your thoughts, your perception, your reactions. Every moment.",en,[],[],[],2,4,14,[],[],https://twitter.com/AlfYATD/status/1492407730245709829,False,,0,,,,,,,,[],,,,
1492012329655017475,1492012329655017475,2022-02-11 06:47:14 Romance Standard Time,2022-02-11,06:47:14,+0100,25084898,alfyatd,Alf Dunbar,,"""With struggle comes opportunity.""  https://t.co/gp6xSJVEf8",en,[],[],['https://pbs.twimg.com/media/FLSxTePXIAkBv3Y.jpg'],0,2,2,[],[],https://twitter.com/AlfYATD/status/1492012329655017475,False,,1,https://pbs.twimg.com/media/FLSxTePXIAkBv3Y.jpg,,,,,,,[],,,,
1491667694965379073,1491667694965379073,2022-02-10 07:57:46 Romance Standard Time,2022-02-10,07:57:46,+0100,25084898,alfyatd,Alf Dunbar,,One day you will thank yourself for not giving up.  https://t.co/YYvWRSXDyR,en,[],[],['https://pbs.twimg.com/media/FLN33EZXsAIYXQu.jpg'],0,3,13,[],[],https://twitter.com/AlfYATD/status/1491667694965379073,False,,1,https://pbs.twimg.com/media/FLN33EZXsAIYXQu.jpg,,,,,,,[],,,,
1491363415658754049,1491356100738023427,2022-02-09 11:48:41 Romance Standard Time,2022-02-09,11:48:41,+0100,25084898,alfyatd,Alf Dunbar,,@thatjamesbyrne Thank you James 🙋‍♂️,en,[],[],[],0,0,1,[],[],https://twitter.com/AlfYATD/status/1491363415658754049,False,,0,,,,,,,,"[{'screen_name': 'thatjamesbyrne', 'name': 'James Byrne', 'id': '431533656'}]",,,,
1491304302694268936,1491304302694268936,2022-02-09 07:53:47 Romance Standard Time,2022-02-09,07:53:47,+0100,25084898,alfyatd,Alf Dunbar,,"""Self-confidence is a superpower. Once you start to believe in yourself, the magic starts happening.""  https://t.co/hEFa6YzCtG",en,[],[],['https://pbs.twimg.com/media/FLItW5YWQAEXJ35.jpg'],0,2,9,[],[],https://twitter.com/AlfYATD/status/1491304302694268936,False,,1,https://pbs.twimg.com/media/FLItW5YWQAEXJ35.jpg,,,,,,,[],,,,
1490952851253723138,1490952851253723138,2022-02-08 08:37:14 Romance Standard Time,2022-02-08,08:37:14,+0100,25084898,alfyatd,Alf Dunbar,,"“Yesterday's the past, tomorrow's the future, but today is a gift. That's why it's called the present.” #quote  https://t.co/Y5O5nNUabO",en,[],[],['https://pbs.twimg.com/media/FLDttvGXMAI_w-L.jpg'],1,4,15,['quote'],[],https://twitter.com/AlfYATD/status/1490952851253723138,False,,1,https://pbs.twimg.com/media/FLDttvGXMAI_w-L.jpg,,,,,,,[],,,,
1490587278011514885,1490587278011514885,2022-02-07 08:24:35 Romance Standard Time,2022-02-07,08:24:35,+0100,25084898,alfyatd,Alf Dunbar,,"""If you're always comfortable, you'll never grow."" #comfortzone  https://t.co/S7AkDjJPHT",en,[],[],['https://pbs.twimg.com/media/FK-hOehXoAE_lL7.jpg'],0,3,12,['comfortzone'],[],https://twitter.com/AlfYATD/status/1490587278011514885,False,,1,https://pbs.twimg.com/media/FK-hOehXoAE_lL7.jpg,,,,,,,[],,,,
